Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Cmp%,PrgDist,Shrt Cmp%,Med Cmp%,Long Cmp%,Ast,xA,A-xA,Key Passes,Final 1/3,PenBoxPasses,CrsPenBox,Prog,Matches
1,Patrick van Aanholt,nl NED,DF,Crystal Palace,30-189,1990,14.7,58.9,79.7,359.2,88.9,80.7,52.6,0.07,0.05,0.01,0.75,3.54,1.5,0.27,5.65,Matches
2,Tammy Abraham,eng ENG,FW,Chelsea,23-155,1997,11.3,18.9,68.7,28.9,77.6,62.9,60,0.09,0.08,0.01,0.71,1.06,0.18,0,0.97,Matches
3,Che Adams,eng ENG,FW,Southampton,24-236,1996,21.2,21.7,69.3,54,75.8,75.4,74,0.19,0.2,-0.01,1.08,0.99,0.61,0,1.93,Matches
4,Tosin Adarabioyo,eng ENG,DF,Fulham,23-163,1997,23,55.2,86.5,372.8,89.1,93.6,73,0,0,0,0.13,2.43,0.13,0,2.39,Matches
5,Adrián,es ESP,GK,Liverpool,34-062,1987,3,33,76.8,375.7,100,97.2,48.8,0,0,0,0,0,0,0,0,Matches
6,Sergio Agüero,ar ARG,FW,Manchester City,32-277,1988,2.3,28.7,84.8,31.7,88.9,87.5,100,0,0.26,-0.26,1.3,0.87,0.43,0,0.87,Matches
7,Ola Aina,ng NGA,DF,Fulham,24-149,1996,22.2,61.2,78.1,368.8,90.8,85.7,50,0.05,0.06,-0.01,0.59,3.92,0.59,0.36,3.83,Matches
8,Rayan Aït Nouri,fr FRA,DF,Wolves,19-273,2001,7.8,46.4,83.4,178.8,92,85.4,55.6,0.13,0.09,0.04,0.77,1.67,0.77,0.38,2.31,Matches
9,Semi Ajayi,ng NGA,DF,West Brom,27-117,1993,23.3,33.8,72.7,227.1,85.1,80.8,50,0,0,0,0.09,2.15,0.13,0,2.1,Matches
10,Nathan Aké,nl NED,DF,Manchester City,26-016,1995,5.2,88.7,93.1,415.4,95.7,94.7,81.8,0,0,0,0.19,6.92,0,0,4.42,Matches
11,Marc Albrighton,eng ENG,"FW,DF",Leicester City,31-108,1989,13.1,43.2,68.4,209.9,82.5,79.3,40.7,0.15,0.22,-0.07,1.6,2.75,2.06,0.84,4.27,Matches
12,Thiago Alcántara,es ESP,MF,Liverpool,29-329,1991,11.8,85.7,88.7,395.7,90.6,93.1,80.3,0,0.09,-0.09,1.36,9.58,0.93,0.08,8.9,Matches
13,Toby Alderweireld,be BEL,DF,Tottenham,32-004,1989,15.9,49.3,80.9,250.6,91.5,91.5,61.5,0,0.01,-0.01,0.19,2.89,0.25,0.06,2.01,Matches
14,Rúnar Alex Rúnarsson,is ISL,GK,Arsenal,26-016,1995,0.2,55,63.6,255,100,100,0,0,0,0,0,0,0,0,0,Matches
